Country,Continent,Region,Cases_million,Deaths_million,Trans_Class,Community_trans,Test_perMillion,pop,LifeExp,MedianAge,Rural_pop,Urban_agglome,GDP,GINI,Business,Cardiovasc,Diabetes,HumDev,TB,BCG,LRI,HIV,Nurses,Physicians,GHS,BMI,Malaria,CDN,Cancer,BP,chol,AirTrafic,UV,Polution,Temp,Rainfall,Internet,SocialMed
Cameroon,Africa,Central or Middle African,1141.91,474,Community transmission,1,5529,26545864,59.29,18.8,43.032,27.9,3364.926,46.6,167,244.661,6,0.556,179,80,143.69,3.1,1.487730769,0.0881,34.4,24.3,1327522,72538.06,0.44,24.8,21.9,0.011,5185,73,25,143,2,3
Central African Republic,Africa,Central or Middle African,1032.97,63,Community transmission,1,7277,4829764,53.28,18.3,58.23,17.12,661.24,56.2,184,435.727,6,0.367,540,74,191.48,3.5,0.2063,0.0721,27.3,22.9,972119,86468.58,0.41,31.2,22.2,0.009,5498,57,25.04651163,74.06976744,3,2
Chad,Africa,Central or Middle African,209,121,Community transmission,1,53927.32609,16425859,54.24,16.7,76.721,8.6,1768.153,43.3,182,280.995,6,0.404,142,75,206.48,1.2,0.2322,0.0434,28.8,21.9,1364706,77795.14,0.38,32.9,17.9,0.23515,5669,66,28,31,2,2
Congo,Africa,Central or Middle African,1460.65,122,Community transmission,1,16514,5518092,64.57,19,32.627,61.3,4881.406,48.9,180,344.094,6,0.606,373,80,127.54,3.1,0.6271,0.1645,23.6,23.2,116903,78802.6,0.53,26.2,29,0.066,4943,47,25,141,2,2
Democratic Republic of the Congo,Africa,Central or Middle African,259.16,677,Community transmission,1,53927.32609,89561404,60.68,17,54.954,23.9,808.133,42.1,183,318.949,6,0.457,320,73,164.07,0.8,1.1101,0.074,26.5,22,16972207,87465.42,0.37,28.5,16.1,0.011,5100,45,25.04651163,74.06976744,2,3
Equatorial Guinea,Africa,Central or Middle African,3944.45,86,Community transmission,1,64913,1402985,58.74,22.4,27.373,17.12,22604.873,42.61914894,178,202.812,6,0.591,181,85,96.79,7.2,0.5024,0.4017,16.2,24,8962,77500.58,0.5,28.4,40.9,0.343,4635,53,25.04651163,74.06976744,1,1
Gabon,Africa,Central or Middle African,5000.15,70,Community transmission,1,208074,2225728,66.47,23.1,10.259,17.12,16562.413,38,169,259.967,6,0.702,521,92,133.85,3.5,2.946,0.6819,20,25.2,111719,80143.2,0.48,25.5,42.5,0.23515,4654,44,26,148,3,3
Sao Tome and Principe,Africa,Central or Middle African,5817.69,17,Community transmission,1,52297,219161,70.39,18.7,26.402,17.12,3052.714,30.8,170,270.113,2.4,0.589,114,95,190.02,0.545,1.9242,0.0531,17.7,24.8,2937,61246.66,0.54,25.8,18.1,0.23515,4422,29,25.04651163,74.06976744,4,1
Angola,Africa,Central or Middle African,608.4,473,Community transmission,1,5331,32866268,61.15,16.8,33.823,25.2,5819.495,42.7,177,276.045,4.5,0.581,351,69,115.83,1.9,0.4075,0.2146,25.2,23.3,5150575,75617.86,0.42,29.7,30.9,0.052,5287,32,23,80,3,3
Ethiopia,Africa,Eastern Africa,1219.14,2126,Community transmission,1,17366,114963583,66.6,19.8,78.775,4,1729.927,35,159,182.634,4.3,0.463,140,69,144.89,0.9,0.7135,0.0769,40.6,20.6,962087,79402.48,0.39,30.3,21.3,0.119,5929,39,24,77,2,2
Kenya,Africa,Eastern Africa,1884.63,1773,Community transmission,1,22534,53771300,66.7,20,72.493,10.9,2993.028,40.8,56,218.637,3.1,0.59,267,95,140.63,4.5,1.1656,0.1565,47.1,23.3,1852509,70078.31,0.38,26.7,26.9,0.127,5803,29,26,60,3,2
Burundi,Africa,Eastern Africa,142.8,3,Community transmission,1,7435,11890781,61.58,17.5,86.634,17.12,702.225,38.6,166,293.068,5.1,0.417,107,93,148.31,1,0.8526,0.1001,22.8,21.7,4966511,81456.27,0.39,29.2,18.9,0.23515,5111,39,21,120,2,3
Comoros,Africa,Eastern Africa,3421.11,105,Community transmission,1,53927.32609,869595,64.32,20.4,70.836,17.12,1413.89,45.3,160,261.516,12.3,0.503,35,94,158.28,0.1,0.6285,0.2715,27.2,24.5,15613,68955.9,0.52,27.9,24,0.23515,5524,21,26,153,3,2
Djibouti,Africa,Eastern Africa,6013.16,63,Clusters of cases,0,111721,988002,67.11,25.4,22.085,17.12,2705.406,41.6,112,258.037,5.1,0.476,234,95,131.1,0.8,0.7288,0.2237,23.2,24,25319,66016,0.52,26.8,36.7,0.23515,5461,46,29,24,2,2
